retailer,name,brand,package_size,instore_price,instore_was_price,online_price,online_was_price,save_percent,category_original,category_std
Woolworth,Schweppes Lemonade Mini Cans 250mL x 12 pack,Schweppes,250mL x 12 pack,9.9,16.5,9.9,16.5,0.3999999999999999,"[""Soft Drinks""]",Soft Drink
Woolworth,Nu Pure Lightly Sparkling Water Lemon Lime Natural Flavour 500mL x 12 pack,Nu Pure,500mL x 12 pack,9.8,9.8,9.8,9.8,0.0,"[""Water""]",Juice
Woolworth,Pureau Pure Water Water 10L,Pureau,10L,9.6,9.6,9.6,9.6,0.0,"[""Water""]",Water
Woolworth,Coca-Cola Classic Soft Drink Multipack Glass Bottles 300mL x 4 pack,Coca-Cola,300mL x 4 pack,9.6,9.6,9.6,9.6,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Coca-Cola Zero Sugar Glass Bottle 330mL x 4 pack,Coca-Cola,330mL x 4 pack,9.6,9.6,9.6,9.6,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,La Ice No Sugar Cola Cans 375mL x 12 pack,La Ice,375mL x 12 pack,9.6,9.6,9.6,9.6,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,La Ice Cola Cans 375mL x 12 pack,La Ice,375mL x 12 pack,9.6,9.6,9.6,9.6,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Remedy Wild Berry Kombucha 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Tea
Woolworth,Remedy Lemon Ginger Kombucha 4 pack,Remedy,4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Tea
Woolworth,Pepsi Max No Sugar Cola Soft Drink Cans Multipack 375mL x 10 pack,Pepsi Max,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Nudie Nothing But Oranges Pulp Free Juice 2L,Nudie,2L,9.5,9.5,9.5,9.5,0.0,"[""Cordials, Juices & Iced Teas"",""Drinks""]",Juice
Woolworth,Nudie Nothing But Oranges With Pulp 2L,Nudie,2L,9.5,9.5,9.5,9.5,0.0,"[""Cordials, Juices & Iced Teas"",""Drinks""]",Tea
Woolworth,Remedy Raspberry Lemonade Kombucha 4 pack,Remedy,4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Remedy Passionfruit Kombucha 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Tea
Woolworth,Solo Zero Sugar Original Lemon Soft Drink Cans Multipack 375mL x 10 pack,Solo,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Pepsi Max No Sugar Vanilla Cola Soft Drink Cans Multipack 375mL x 10 pack,Pepsi Max,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Remedy Organic Kombucha Mango Passion Cans 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Tea
Woolworth,Solo Thirst Crusher Original Lemon Soft Drink Cans Multipack 375mL x 10 pack,Solo,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Remedy Organic Kombucha Pink Grapefruit 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Tea
Woolworth,Remedy Organic Kombucha Lemonade 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Solo Lemon Orange Zero Sugar 375mL x 10 pack,Solo,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Juice
Woolworth,Sunkist Zero Sugar Orange Soft Drink Cans Multipack 375mL x 10 pack,Sunkist,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Mountain Dew Energised Cans 375mL x 10 pack,Mountain Dew,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Pepsi Soft Drink Cans 375mL x 10 pack,Pepsi,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Schweppes Traditional Raspberry Soft Drink Cans Multipack 375mL x 10 pack,Schweppes,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Lavazza Crema E Gusto Nespresso Compatible Coffee Pods 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Schweppes Lemonade Soft Drink Cans Multipack 375mL x 10 pack,Schweppes,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Lavazza Espresso Intenso Nespresso Compatible Coffee Pods 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Sunkist Orange Soft Drink Cans Multipack 375mL x 10 pack,Sunkist,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Lavazza Espresso Classico Nespresso Compatible Coffee Pods 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Vittoria Decaffeinated Nespresso Compatible Coffee Capsules 10 pack,Vittoria,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Passiona Passionfruit Soft Drink Cans Multipack 375mL x 10 pack,Passiona,375mL x 10 pack,9.5,19.0,9.5,19.0,0.5,"[""Soft Drinks""]",Soft Drink
Woolworth,Nippy's Unsweetened Orange Juice 3L,Nippy's,3L,9.5,9.5,9.5,9.5,0.0,"[""Cordials, Juices & Iced Teas"",""Drinks""]",Juice
Woolworth,Illy Classico Espresso Capsules 10 pack,Illy,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Illy Espresso Forte Capsules 10 pack,Illy,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Lavazza Crema e Gusto Forte Pods 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Tea & Coffee"",""Coffee""]",Tea
Woolworth,Remedy Switchel Blood Orange Cans 250mL x 4 pack,Remedy,250mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Soft Drinks""]",Juice
Woolworth,Cocobella Coconut Water Straight Up 350mL x 4 pack,Cocobella,350mL x 4 pack,9.5,9.5,9.5,9.5,0.0,"[""Water""]",Water
Woolworth,Lavazza Qualita Oro Capsules 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Tea & Coffee"",""Coffee""]",Tea
Woolworth,Ovaltine Sleep Calming Chocolate Drink Sachets 10 pack,Ovaltine,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Flavoured Milk""]",Milk
Woolworth,Twinings Chai Latte Sachets 10 pack,Twinings,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Tea & Coffee"",""Tea""]",Coffee
Woolworth,Lavazza Espresso Decaffeinato Pods 10 pack,Lavazza,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Twinings Choc Chai Latte Sachets 10 pack,Twinings,10 pack,9.5,9.5,9.5,9.5,0.0,"[""Tea & Coffee"",""Tea""]",Coffee
